username, created_at, lng, lat, text
tofire, Mon Apr 20 02:12:05 +0000 2020, -79.583702, 43.746801, Medical [Etobicoke]Scarborough ON M1VDispatched: 19/04/20 @ 22:06 EDT[Stn: 242] Pumper-113General Area: 
tofireE, Mon Apr 20 02:12:05 +0000 2020, -79.583702, 43.746801, Medical [Etobicoke]Scarborough ON M1VDispatched: 19/04/20 @ 22:06 EDT[Stn: 242] Pumper-113General Area: 
JustinVPersaud, Mon Apr 20 02:12:05 +0000 2020, -73.831187, 40.670879, Midnights baby 🥶🥶🥶 
MariAnne1273, Mon Apr 20 02:12:05 +0000 2020, -74.190621, 42.948039, https://t.co/2kLVwIveCz 
RmLavell, Mon Apr 20 02:12:05 +0000 2020, -74.632836, 40.501577, @SebGorka These nasty reporters should be asked to leave the room when they become disrespectful the way she was tonight 
Marcel_LJ, Mon Apr 20 02:12:05 +0000 2020, -78.853563, 42.896230, If I was Scottie Pippen, I would’ve kept that Sonics hat. Joint was fly 
MrBreezyy, Mon Apr 20 02:12:05 +0000 2020, -71.683502, 42.036939, Niggas ain’t want smoke with Oak. 😩😩😩😩 
KellyKozz, Mon Apr 20 02:12:06 +0000 2020, -78.638127, 42.830265, @haley_abraszek if this isn’t us idk what is 
ktorch14, Mon Apr 20 02:12:06 +0000 2020, -77.604684, 41.117936, This. ⬇️ No question. #TheLastDance 
no2tomfoolery, Mon Apr 20 02:12:08 +0000 2020, -73.831187, 40.670879, @thomaskaine5 Its happening in NY they should also have someone wiping down the handle on shopping carts with bleac… https://t.co/oLeSuN4bXg 
de_facto_cody, Mon Apr 20 02:12:09 +0000 2020, -73.968542, 40.780709, @AlbertLee2020 @DavidAgStone Well said, good sir. https://t.co/z4oE7TIjSW 
__brandonpaul, Mon Apr 20 02:12:09 +0000 2020, -79.272570, 43.629311, it’s considered inclusive language 
TaLLyTaLLz, Mon Apr 20 02:12:09 +0000 2020, -74.103027, 40.816860, Waiting on part 2 to be over. Lol 
go0ley, Mon Apr 20 02:12:09 +0000 2020, -73.968542, 40.780709, Yes 
cmwidjojo, Mon Apr 20 02:12:09 +0000 2020, -73.686020, 40.968536, lmao they calling Barack Obama and Bill Clinton “Former Chicago Resident” and “Former Arkansas Governor” like 😂 #TheLastDance 
